Biological data,Model Name,Author,Paper,Year,Molecule input,Biological input,3D,SE(3)-eq.,Main architecture,Model components,Optimisation,Additional conditioning,Experimental validation
Bioassays,pqsar2cpd,Pikusa et al.,https://www.biorxiv.org/content/10.1101/2021.12.10.472084v1,2021,Graph + SMILES,EC50,No,No,VAE,"JT-VAE, GAN, QSAR",,,Yes
Bioassays,JAEGER,Godinez et al.,https://www.nature.com/articles/s42256-022-00448-w,2022,Graph,pIC50,No,No,VAE ,"JT-VAE, residual neural network",,Activity thresholds,Yes
Bioassays,,Horne et al.,https://pubs.acs.org/doi/10.1021/acs.jctc.2c01303,2023,Graph + SMILES,Aggregation inhibition,No,No,RNN,"LSTM, GNN, QSAR",RL,,No
Bioassays,POLYGON,Munson et al.,https://www.nature.com/articles/s41467-024-47120-y,2024,SMILES,pIC50,No,No,VAE,pIC50 predictor,RL,"Ligand efficiency (two targets), QED, SA",Yes
Bioassays,,Zavadskaya et al.,https://link.springer.com/article/10.1186/s13321-025-00998-2,2025,Graph,pIC50,No,No,GCN,"QSAR, fragment-based",RL,"pIC50, docking score",No
Protein structure,,Aumentado-Armstrong,https://arxiv.org/abs/1809.02032,2018,SMILES,Graph,No,No,VAE,"JT-VAE, GNN",Latent space gradient descent,"LogP, QED,SA, toxicity",No
Protein structure,LiGANN,Skalic et al.,https://pubs.acs.org/doi/10.1021/acs.molpharmaceut.9b00634,2019,3D geometry,PLC,Yes,No,GAN,"U-Net, CNN-LSTM",,,No
Protein structure,CogMol,Chenthamarakshan et al.,https://proceedings.neurips.cc/paper_files/paper/2020/hash/2d16ad1968844a4300e9a490588ff9f8-Abstract.html,2020,SMILES,Protein sequence,No,No,VAE,Binding affinity regressor,Conditional rejection sampling,"QED, logP, SA, pIC50, selectivity",No
Protein structure,DeepLigBuilder,Li et al.,https://pubs.rsc.org/en/content/articlelanding/2021/sc/d1sc04444c,2021,Graph,3D pocket,Yes,No,GCN,,MCTS,Docking score,No
Protein structure,PaccMannRL,Born et al.,https://iopscience.iop.org/article/10.1088/2632-2153/abe808,2021,SELFIES,Protein embedding,No,No,VAE,Critic for IC50,RL,"Docking score, toxicity",No
Protein structure,Sample-and-Dock,Xu et al.,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00746,2021,Graph,Crystal structure,Yes,No,VAE,JT-VAE,Iterative search based on docking score,Docking score,No
Protein structure,SBMolGen,Ma et al.,https://pubs.acs.org/doi/10.1021/acs.jcim.1c00679,2021,SMILES,Crystal structure,Yes,No,RNN,GRU,MCTS,Docking score,No
Protein structure,,Grechishnikova,https://www.nature.com/articles/s41598-020-79682-4,2021,SMILES,Protein sequence,No,No,Transformer,,,,No
Protein structure,,Xu et al.,https://pubs.acs.org/doi/10.1021/acs.jcim.0c01494,2021,SMILES,Pocket descriptor,No,No,RNN,LSTM,,,No
Protein structure,[AR3D],Luo et al.,https://arxiv.org/abs/2203.10446,2022,Atomic density grid,PLC,Yes,No,GNN,,MCMC,,No
Protein structure,AlphaDrug,Qian et al.,https://academic.oup.com/pnasnexus/article/1/4/pgac227/6751929,2022,SMILES,Protein sequence,No,No,Transformer,,MCTS,Docking score,No
Protein structure,GraphBP,Liu et al.,https://proceedings.mlr.press/v162/liu22m.html,2022,Graph,PLC,Yes,Yes,Flow,GNN,,,No
